                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3175,                 2.8448,                 2.3688,                 1.3915,                0.53363,                0.06509,                0.35674,                0.18058,                0.70893,                0.08654,                0.53419,                0.23118,                 1.4378,                 3.2616,                 3.0549,                 1.7115,                0.00032,                0.00032,                0.00032
                      2,                 1.1141,                 1.5716,                 1.4408,                 1.1639,                0.79826,                 0.4917,                0.69543,                0.36307,                0.82708,                0.50945,                 0.7268,                0.47594,                  1.379,                 1.8355,                 2.5998,                 1.6301,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.0919,                 1.4931,                 1.2178,                 1.1304,                0.80727,                0.68047,                0.74969,                0.43563,                0.80841,                0.68639,                0.75747,                 0.5153,                 1.2603,                 1.6938,                 2.2896,                 1.3395,              0.0009604,              0.0009604,              0.0009604
                      4,                 1.1208,                 1.4771,                 1.1709,                 1.1626,                0.80196,                0.69489,                0.77404,                 0.4431,                0.83379,                0.69822,                0.78554,                  0.566,                 1.3044,                  1.277,                 1.8701,                 1.5409,              0.0012604,              0.0012604,              0.0012604
                      5,                 1.1312,                 1.4677,                 1.1865,                 1.1726,                0.76164,                0.47929,                0.57827,                 0.3703,                0.67467,                 0.3787,                0.40915,                0.14788,                 1.2884,                 6.0176,                 2.0408,                 1.4093,              0.0015469,              0.0015469,              0.0015469
                      6,                 1.1505,                 1.4315,                 1.1234,                 1.1856,                 0.6251,                0.55621,                0.59879,                0.30763,                0.47555,                0.40237,                0.34646,                0.10082,                 1.5084,                 6.4675,                 2.5803,                 1.6238,               0.001802,               0.001802,               0.001802
                      7,                 1.1338,                 1.3733,                  1.052,                  1.178,                0.86063,                0.78698,                0.86033,                0.55788,                0.86063,                0.78698,                0.85858,                0.50932,                 1.2243,                 1.8798,                 1.4312,                  1.458,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1004,                 1.3605,                0.99591,                 1.1641,                0.80498,                0.78156,                0.85568,                0.53645,                 0.8037,                0.76331,                0.85278,                0.57312,                 1.2118,                 1.4062,                 1.4761,                 1.3992,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.109,                 1.4056,                0.98904,                 1.1482,                0.73937,                0.76331,                0.78932,                0.45331,                0.75084,                0.77515,                0.79568,                0.49687,                 1.2853,                 1.3864,                 1.6688,                 1.4959,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0643,                 1.3497,                0.97709,                 1.1454,                0.93664,                 0.8748,                0.94998,                0.56881,                0.92408,                0.86422,                0.93713,                0.57891,                 1.3392,                 1.6893,                 1.2475,                 1.4037,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0263,                 1.3142,                0.90118,                 1.1238,                0.82852,                0.88628,                0.92554,                0.61966,                 0.8119,                0.89391,                0.91916,                0.64576,                 1.1458,                 1.2668,                 1.1257,                 1.2796,               0.001604,               0.001604,               0.001604
                     12,                  1.034,                 1.3384,                0.88137,                 1.1238,                0.90053,                0.91073,                0.95069,                0.62363,                0.93172,                0.94675,                0.97069,                0.69173,                 1.1645,                 1.1538,                 1.0099,                 1.2807,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0132,                 1.2779,                0.81516,                 1.0996,                0.92878,                0.94675,                0.97593,                0.70662,                0.91476,                 0.9525,                 0.9752,                0.69972,                0.98733,                 1.1651,                0.88892,                 1.1451,              0.0015248,              0.0015248,              0.0015248
                     14,                0.96837,                 1.2735,                0.79331,                 1.0867,                0.95011,                0.98817,                0.99053,                0.73587,                0.93753,                0.97679,                0.98624,                0.72744,                0.94097,                 1.0845,                0.82212,                 1.0874,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0017,                 1.3081,                0.79148,                  1.079,                0.93675,                0.96403,                0.96109,                0.65502,                0.93675,                0.96403,                0.97005,                0.66991,                  1.014,                 1.1492,                0.81018,                 1.1186,              0.0014456,              0.0014456,              0.0014456
                     16,                   1.02,                 1.2583,                0.78455,                 1.1196,                 0.8934,                0.94221,                0.96949,                0.66879,                0.92292,                  0.921,                0.96669,                0.69213,                 1.0612,                 1.1838,                0.89247,                 1.1653,               0.001406,               0.001406,               0.001406
                     17,                0.99039,                 1.2502,                0.75627,                   1.09,                0.93508,                0.94083,                0.97605,                0.71053,                0.94109,                0.94533,                0.97246,                 0.7189,                0.94868,                 1.0684,                 0.7202,                 1.0871,              0.0013664,              0.0013664,              0.0013664
                     18,                0.98229,                 1.2225,                0.71644,                 1.0743,                 0.9753,                0.93444,                0.98724,                0.73363,                 0.9788,                0.94675,                0.98874,                0.74326,                0.93773,                 1.0385,                0.67819,                 1.0686,              0.0013268,              0.0013268,              0.0013268
                     19,                 0.9227,                 1.1936,                0.68766,                 1.0629,                0.97281,                0.94083,                0.98578,                0.73118,                0.95601,                0.95266,                0.98372,                0.72802,                0.93136,                 1.0689,                0.74101,                 1.0849,              0.0012872,              0.0012872,              0.0012872
                     20,                0.96325,                  1.287,                0.67171,                 1.0655,                0.98714,                0.95266,                0.98917,                0.72075,                0.98714,                0.95266,                0.98917,                0.73626,                0.92918,                 1.0074,                0.69545,                 1.0694,              0.0012476,              0.0012476,              0.0012476
                     21,                0.91496,                 1.2235,                0.63993,                 1.0379,                0.94128,                0.97041,                0.98143,                0.70559,                0.94128,                0.97041,                0.98423,                0.70869,                0.94954,                 1.0576,                0.65517,                 1.0763,               0.001208,               0.001208,               0.001208
                     22,                 0.9166,                 1.2388,                0.65895,                 1.0516,                0.93833,                0.99039,                0.98487,                0.72241,                0.93432,                0.97633,                0.98635,                0.73351,                0.95919,                 1.0532,                0.68346,                 1.0809,              0.0011684,              0.0011684,              0.0011684
                     23,                0.89237,                 1.2227,                0.63827,                 1.0219,                0.94996,                 0.9645,                0.98708,                0.71344,                0.95359,                0.97267,                0.98586,                 0.7027,                0.94347,                 1.1491,                 0.6558,                 1.0649,              0.0011288,              0.0011288,              0.0011288
                     24,                0.89191,                 1.1864,                0.64187,                 1.0146,                0.91665,                0.91101,                0.94934,                0.65461,                0.93451,                0.92876,                0.96249,                0.66124,                 1.0464,                 1.1968,                 0.7555,                 1.1172,              0.0010892,              0.0010892,              0.0010892
                     25,                0.86331,                 1.2166,                0.61812,                  1.031,                0.93736,                0.97402,                0.98189,                0.72153,                0.93167,                 0.9681,                0.97855,                0.71213,                0.96736,                 1.1239,                0.64765,                 1.0769,              0.0010496,              0.0010496,              0.0010496
                     26,                0.84354,                  1.156,                0.59297,                 1.0135,                0.93725,                0.97633,                0.98701,                0.75607,                0.93644,                0.98225,                0.98717,                 0.7543,                0.85977,                 1.0273,                0.56851,                 1.0175,                0.00101,                0.00101,                0.00101
                     27,                0.86479,                 1.1863,                0.59107,                 1.0165,                0.93926,                0.97633,                0.97958,                0.71771,                0.93926,                0.97633,                0.98398,                0.71669,                0.95755,                 1.0637,                0.57856,                 1.0699,              0.0009704,              0.0009704,              0.0009704
                     28,                0.87426,                 1.1884,                0.60886,                 1.0156,                0.90566,                0.94675,                0.97003,                0.71814,                0.91132,                0.95266,                0.97625,                0.71661,                0.93817,                  1.073,                0.62413,                 1.0496,              0.0009308,              0.0009308,              0.0009308
                     29,                 0.8455,                 1.1192,                0.58303,                 1.0117,                0.90435,                0.95107,                0.96536,                0.69207,                0.91011,                0.95856,                0.97682,                0.69955,                  0.967,                 1.0842,                0.61751,                 1.1167,              0.0008912,              0.0008912,              0.0008912
                     30,                0.85033,                 1.1782,                0.58934,                 1.0054,                0.93623,                0.94675,                0.98223,                 0.7054,                0.90578,                0.95858,                0.97202,                0.71019,                0.95586,                 1.1119,                0.59886,                 1.0768,              0.0008516,              0.0008516,              0.0008516
                     31,                0.84164,                 1.1775,                0.57032,                 1.0126,                0.92178,                0.97623,                0.98504,                0.74416,                0.91619,                0.97031,                0.98417,                 0.7505,                0.88366,                0.99163,                0.58518,                  1.025,               0.000812,               0.000812,               0.000812
                     32,                0.77221,                 1.1187,                0.54385,                0.99064,                0.94247,                 0.9693,                0.98914,                 0.7533,                0.93053,                0.98225,                0.98879,                0.74448,                0.89412,                 1.0225,                 0.5174,                 1.0383,              0.0007724,              0.0007724,              0.0007724
                     33,                0.79857,                 1.1677,                0.54005,                0.99414,                0.92703,                0.97721,                0.99006,                0.75383,                0.92714,                0.97879,                0.98858,                0.75196,                0.89338,                0.99412,                0.52454,                 1.0397,              0.0007328,              0.0007328,              0.0007328
                     34,                0.80241,                 1.1759,                 0.5466,                 1.0129,                0.96436,                0.96053,                 0.9894,                0.75825,                0.93019,                0.99408,                0.98971,                0.75181,                0.86599,                 1.0031,                0.52644,                 1.0485,              0.0006932,              0.0006932,              0.0006932
                     35,                0.75241,                 1.0845,                0.51642,                0.99278,                0.94807,                0.97233,                0.98867,                0.75441,                 0.9423,                0.96641,                0.98401,                0.75879,                0.91713,                 1.0063,                0.53319,                 1.0582,              0.0006536,              0.0006536,              0.0006536
                     36,                0.77066,                 1.0895,                0.50975,                0.97976,                0.95838,                0.98225,                0.98929,                0.75825,                0.95252,                0.97633,                0.98792,                0.75507,                0.88562,                0.99554,                0.50735,                 1.0338,               0.000614,               0.000614,               0.000614
                     37,                 0.7557,                 1.0634,                0.52749,                0.99032,                0.96482,                0.97378,                0.99053,                0.75729,                0.95863,                0.97633,                0.98064,                0.75909,                0.90817,                0.96822,                0.50219,                 1.0417,              0.0005744,              0.0005744,              0.0005744
                     38,                0.73852,                 1.1235,                0.50824,                0.97075,                0.94833,                0.97733,                0.99086,                0.75657,                0.94922,                 0.9645,                0.98506,                0.76969,                0.88538,                0.96357,                0.50343,                 1.0348,              0.0005348,              0.0005348,              0.0005348
                     39,                0.75519,                 1.0818,                0.50217,                0.98181,                0.91747,                0.98817,                0.98386,                0.76234,                0.91747,                0.98817,                0.98068,                0.75759,                0.85913,                0.95807,                0.51854,                 1.0181,              0.0004952,              0.0004952,              0.0004952
                     40,                0.77731,                 1.0704,                0.50975,                0.99177,                0.96134,                0.97041,                0.99223,                0.77502,                0.96134,                0.97041,                0.99223,                0.77317,                0.84518,                0.92081,                0.49212,                 1.0071,              0.0004556,              0.0004556,              0.0004556
                     41,                0.69069,                0.99385,                0.46561,                0.95609,                0.93437,                0.95266,                0.98044,                0.75496,                0.94598,                 0.9645,                0.98606,                0.73864,                 0.8502,                0.98708,                0.53806,                 1.0181,               0.000416,               0.000416,               0.000416
                     42,                0.68966,                0.94373,                0.44736,                0.95972,                0.94104,                0.98817,                0.99087,                0.74524,                0.94104,                0.98817,                0.98396,                 0.7321,                 0.9116,                 1.0471,                0.49897,                 1.0465,              0.0003764,              0.0003764,              0.0003764
                     43,                0.66217,                0.91092,                 0.4322,                0.94803,                0.94322,                0.98225,                0.99143,                0.73115,                0.94322,                0.98225,                0.98151,                0.73451,                0.97695,                 1.0714,                0.49065,                 1.0795,              0.0003368,              0.0003368,              0.0003368
                     44,                0.63651,                0.92143,                0.40885,                0.95178,                0.94836,                0.97799,                 0.9913,                0.72636,                0.94836,                0.97799,                0.98319,                0.70816,                0.99781,                 1.1435,                0.48783,                 1.1068,              0.0002972,              0.0002972,              0.0002972
                     45,                0.61753,                0.91244,                0.40622,                0.93238,                0.95154,                0.98225,                0.99061,                0.74648,                0.94335,                0.98539,                0.98177,                0.73503,                0.92807,                 1.0945,                0.46954,                 1.0456,              0.0002576,              0.0002576,              0.0002576
                     46,                0.62882,                0.88927,                0.43434,                0.93684,                0.95895,                0.98225,                0.99111,                0.75373,                0.94584,                0.98225,                0.98258,                0.74779,                0.93146,                 1.0531,                0.46373,                 1.0416,               0.000218,               0.000218,               0.000218
                     47,                0.60317,                 0.8979,                 0.3729,                0.92143,                0.94819,                0.99408,                0.99091,                0.77227,                0.94255,                0.98817,                0.98418,                0.75989,                0.87528,                0.97842,                0.45508,                 1.0252,              0.0001784,              0.0001784,              0.0001784
                     48,                0.60138,                0.87787,                0.38869,                0.91517,                0.95991,                0.99189,                0.99125,                0.76203,                0.95419,                0.98597,                0.98346,                0.75805,                0.89271,                0.99549,                 0.4576,                 1.0319,              0.0001388,              0.0001388,              0.0001388
