                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0188,                 1.5212,                  1.207,                 1.1899,                      1,                0.60326,                0.86328,                0.54318,                      1,                0.60326,                0.86328,                0.50906,                 1.1438,                 2.3499,                 2.8064,                 1.4022,             0.00040491,             0.00040491,             0.00040491
                     25,                0.97481,                 1.2545,                 1.0955,                 1.0272,                      1,                 0.5938,                 0.8597,                0.54431,                      1,                 0.5938,                 0.8597,                0.48145,                 1.2134,                 2.4145,                 2.8695,                 1.4505,             0.00039788,             0.00039788,             0.00039788
                     26,                0.90533,                 1.2855,                 1.0461,                0.95786,                      1,                0.60279,                 0.8815,                0.54432,                      1,                0.60279,                 0.8815,                0.47964,                 1.3698,                 2.5557,                 2.9095,                 1.6644,             0.00038887,             0.00038887,             0.00038887
                     27,                0.86824,                 1.1258,                 0.9705,                0.97673,                0.87176,                0.61989,                0.80666,                0.46834,                0.87176,                0.61989,                0.80666,                0.46813,                 1.3989,                 2.4403,                 2.9398,                 1.6785,             0.00037789,             0.00037789,             0.00037789
                     28,                0.82232,                 1.1038,                 1.0402,                  1.003,                0.87176,                0.61989,                0.80666,                0.46834,                0.87176,                0.61989,                0.80666,                0.46813,                 1.3989,                 2.4403,                 2.9398,                 1.6785,             0.00036492,             0.00036492,             0.00036492
                     29,                0.90046,                 1.3716,                 1.0544,                  1.037,                0.91213,                0.63636,                 0.8046,                0.57733,                0.91213,                0.63636,                 0.8046,                0.49674,                 1.0875,                 2.1129,                 2.7721,                 1.2357,             0.00034998,             0.00034998,             0.00034998
                     30,                0.82326,                 1.2133,                 1.0548,                0.98115,                      1,                0.71582,                0.81603,                0.61009,                      1,                0.71582,                0.81603,                0.53853,                 0.9164,                 1.8914,                 2.4778,                 1.1158,             0.00033306,             0.00033306,             0.00033306
                     31,                0.76906,                  1.074,                  1.321,                  1.058,                      1,                0.71582,                0.81603,                0.61009,                      1,                0.71582,                0.81603,                0.53853,                 0.9164,                 1.8914,                 2.4778,                 1.1158,             0.00031415,             0.00031415,             0.00031415
                     32,                0.92135,                  1.171,                 1.3068,                 1.0278,                 0.9963,                0.72727,                 0.8489,                0.65046,                 0.9963,                0.72727,                 0.8489,                0.56991,                0.86664,                 1.6654,                 2.4071,                 1.0553,             0.00029326,             0.00029326,             0.00029326
                     33,                0.84958,                 1.1519,                 1.2925,                0.99693,                0.88548,                0.70498,                0.84002,                0.65856,                0.88548,                0.70498,                0.84637,                0.60845,                 0.9268,                 1.4928,                 2.4427,                 1.0759,              0.0002704,              0.0002704,              0.0002704
                     34,                 0.7569,                 1.0675,                 1.2354,                0.98371,                0.88548,                0.70498,                0.84002,                0.65856,                0.88548,                0.70498,                0.84637,                0.60845,                 0.9268,                 1.4928,                 2.4427,                 1.0759,             0.00024556,             0.00024556,             0.00024556
                     35,                 0.7016,                 1.1239,                 1.2061,                0.91165,                0.88027,                0.72727,                0.85966,                0.66008,                0.88027,                0.72727,                0.86304,                0.61365,                0.92109,                 1.5016,                  2.476,                 1.0977,             0.00021873,             0.00021873,             0.00021873
                     36,                0.75014,                 1.1261,                 1.2271,                0.96844,                0.94058,                0.72727,                0.87062,                0.66504,                0.94058,                0.72727,                0.87062,                0.61537,                0.92184,                 1.5201,                  2.483,                  1.108,             0.00018992,             0.00018992,             0.00018992
                     37,                0.77753,                 1.1306,                 1.2353,                 1.0206,                0.94058,                0.72727,                0.87062,                0.66504,                0.94058,                0.72727,                0.87062,                0.61537,                0.92184,                 1.5201,                  2.483,                  1.108,             0.00015914,             0.00015914,             0.00015914
                     38,                0.77167,                  1.021,                 1.2047,                0.99994,                0.94837,                0.72727,                0.88321,                0.68514,                0.94837,                0.72727,                0.88321,                0.62322,                0.88148,                 1.5098,                 2.4442,                 1.0759,             0.00012637,             0.00012637,             0.00012637
                     39,                0.67435,                 1.0123,                 1.2312,                0.93976,                0.93479,                0.72727,                0.90324,                0.71149,                0.93479,                0.72727,                0.90324,                0.66357,                0.84513,                 1.4903,                 2.3842,                 1.0564,              9.163e-05,              9.163e-05,              9.163e-05
                     40,                0.71038,                 1.0368,                 1.2708,                 0.9445,                0.93479,                0.72727,                0.90324,                0.71149,                0.93479,                0.72727,                0.90324,                0.66357,                0.84513,                 1.4903,                 2.3842,                 1.0564,             5.4905e-05,             5.4905e-05,             5.4905e-05
