                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.9529,                 1.2365,                 1.0391,                0.93088,                      1,                 0.7881,                  0.995,                0.55576,                      1,                 0.7881,                  0.995,                0.65098,                   1.34,                 1.7013,                 2.1204,                 1.1943,             0.00025052,             0.00025052,             0.00025052
                     25,                0.97994,                 1.0919,                0.96781,                0.98788,                      1,                0.74117,                  0.995,                0.57139,                      1,                0.74117,                  0.995,                0.63742,                 1.3983,                 1.6884,                 2.1749,                  1.198,              0.0002519,              0.0002519,              0.0002519
                     26,                 0.9516,                 1.0325,                 1.0207,                0.94193,                      1,                0.74117,                  0.995,                0.57139,                      1,                0.74117,                  0.995,                0.63742,                 1.3983,                 1.6884,                 2.1749,                  1.198,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.0485,                 1.3674,                 1.1249,                 1.0093,                      1,                0.77923,                  0.995,                0.60379,                      1,                0.77923,                  0.995,                 0.5751,                 1.3248,                 1.7438,                 2.1909,                 1.1526,              0.0002523,              0.0002523,              0.0002523
                     28,                 1.1585,                 1.2971,                 1.1833,                 1.0504,                      1,                0.77923,                  0.995,                0.60379,                      1,                0.77923,                  0.995,                 0.5751,                 1.3248,                 1.7438,                 2.1909,                 1.1526,             0.00025132,             0.00025132,             0.00025132
                     29,                 1.0351,                 1.1035,                 1.2371,                 1.0417,                      1,                0.83476,                  0.995,                0.61589,                      1,                0.83476,                  0.995,                0.56964,                 1.2235,                 1.7714,                 2.1754,                 1.1067,             0.00024954,             0.00024954,             0.00024954
                     30,                 0.9509,                 1.2723,                 1.0719,                0.96872,                      1,                0.83476,                  0.995,                0.61589,                      1,                0.83476,                  0.995,                0.56964,                 1.2235,                 1.7714,                 2.1754,                 1.1067,             0.00024696,             0.00024696,             0.00024696
                     31,                0.97574,                 1.5499,                 1.1761,                 1.0068,                      1,                0.83712,                  0.995,                 0.6523,                      1,                0.83712,                  0.995,                0.60201,                 1.0981,                 1.8268,                   2.17,                 1.0621,              0.0002436,              0.0002436,              0.0002436
                     32,                0.97019,                 1.2005,                 1.0884,                 1.0186,                      1,                0.83712,                  0.995,                 0.6523,                      1,                0.83712,                  0.995,                0.60201,                 1.0981,                 1.8268,                   2.17,                 1.0621,             0.00023944,             0.00023944,             0.00023944
                     33,                0.94947,                 1.1895,                 1.0209,                0.94567,                      1,                0.83665,                  0.995,                0.72409,                      1,                0.83665,                  0.995,                0.59562,                0.96564,                 1.7798,                 2.0992,                0.99672,              0.0002345,              0.0002345,              0.0002345
                     34,                 1.1504,                 1.0471,                 1.0315,                 0.9305,                      1,                0.83665,                  0.995,                0.72409,                      1,                0.83665,                  0.995,                0.59562,                0.96564,                 1.7798,                 2.0992,                0.99672,             0.00022876,             0.00022876,             0.00022876
                     35,                 0.9052,                 1.0671,                 1.0383,                0.95179,                      1,                0.83378,                  0.995,                0.74936,                      1,                0.83378,                  0.995,                0.61483,                0.97161,                  1.743,                 2.0532,                 1.0002,             0.00022222,             0.00022222,             0.00022222
                     36,                0.90435,                 1.1661,                0.95214,                0.95323,                      1,                0.83378,                  0.995,                0.74936,                      1,                0.83378,                  0.995,                0.61483,                0.97161,                  1.743,                 2.0532,                 1.0002,              0.0002149,              0.0002149,              0.0002149
                     37,                 1.0751,                 1.3787,                 1.2192,                0.96981,                      1,                0.84237,                  0.995,                0.73004,                      1,                0.84237,                  0.995,                0.64289,                0.97301,                 1.7601,                 2.0209,                0.98147,             0.00020678,             0.00020678,             0.00020678
